YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,20.3,13.4,17.2,16,396
2000,DODGE,DURANGO 4X4,SUV,4.7,8,A4,X,17.4,12,15,19,345
2000,DODGE,DURANGO 4X4,SUV,5.9,8,A4,X,20.3,13.4,17.2,16,396
2000,DODGE,DURANGO 5.9 R/T 4X4,SUV,5.9,8,A4,Z,20.3,13.4,17.2,16,396
2000,DODGE,GRAND CARAVAN,MINIVAN,3,6,A4,X,13,8.6,11,26,253
2000,DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,12.9,8.6,11,26,253
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,13.6,9.1,11.6,24,267
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,13.9,9.2,11.8,24,271
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,14.5,9.5,12.2,23,281
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,14.7,9.6,12.4,23,285
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,X,12.9,8.6,11,26,253
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,E,18.7,12.1,15.7,18,251
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,15.6,10.7,13.4,21,308
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,15.7,10.3,13.3,21,306
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,18.1,11.7,15.2,19,350
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,M5,X,18.3,11.5,15.2,19,350
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,19.5,12,16.1,18,370
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,19.6,13.3,16.8,17,386
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,20.1,13,16.9,17,389
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,19.6,12.6,16.4,17,377
2000,DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,15.8,12.9,14.5,19,334
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.2,8,A4,X,17.7,11.5,14.9,19,343
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.9,8,A4,X,18.9,13.2,16.3,17,375
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,16.5,13.3,15.1,19,347
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,18.1,11.6,15.2,19,350
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,18.1,11.6,15.2,19,350
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.9,8,A4,X,19.5,11.9,16.1,18,370
2000,DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,A4,N,18.9,13.7,16.6,17,314
2000,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.2,8,A4,X,19.8,14,17.2,16,396
2000,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.9,8,A4,X,19.8,12.1,16.3,17,375
2000,DODGE,VIPER GTS,SUBCOMPACT,8,10,M6,Z,19.4,10.2,15.3,18,352
2000,DODGE,VIPER RT/10,SUBCOMPACT,8,10,M6,Z,19.4,10.2,15.3,18,352
2000,FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,AS6,Z,22.4,13.5,18.4,15,423
2000,FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,M6,Z,22,13.7,18.3,15,421
2000,FERRARI,456 MGT,SUBCOMPACT,5.5,12,A4,Z,24.4,14.5,19.9,14,458
2000,FERRARI,456 MGT,SUBCOMPACT,5.5,12,M6,Z,24,13.4,19.2,15,442
2000,FERRARI,456 MGTA,SUBCOMPACT,5.5,12,A4,Z,24.4,14.5,19.9,14,458
2000,FERRARI,456 MGTA,SUBCOMPACT,5.5,12,M6,Z,24,13.4,19.2,15,442
2000,FERRARI,550 MARANELLO,SUBCOMPACT,5.5,12,M6,Z,27.7,16.6,22.7,12,522
2000,FORD,COUGAR,COMPACT,2,4,M5,X,9.7,6.4,8.2,34,189
2000,FORD,COUGAR,COMPACT,2.5,6,A4,X,11.6,7.6,9.8,29,225
2000,FORD,COUGAR,COMPACT,2.5,6,M5,X,11.8,7.5,9.9,29,228
2000,FORD,CROWN VICTORIA,FULL-SIZE,4.6,8,A4,X,13.5,8.8,11.4,25,262
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.2,6,A4,X,17.3,12.4,15.1,19,347
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,A4,X,17,11.9,14.7,19,338
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,5.4,8,A4,X,18,12.5,15.5,18,356
2000,FORD,E150 VAN,VAN - CARGO,4.2,6,A4,X,17.2,12.1,14.9,19,343
2000,FORD,E150 VAN,VAN - CARGO,4.6,8,A4,X,16,11.1,13.8,20,317
2000,FORD,E150 VAN,VAN - CARGO,5.4,8,A4,X,16.1,11.3,13.9,20,320
2000,FORD,E250 VAN,VAN - CARGO,4.2,6,A4,X,17.3,12.3,15,19,345
2000,FORD,E250 VAN,VAN - CARGO,5.4,8,A4,X,18.3,12.1,15.5,18,356
2000,FORD,ESCORT ZX2,COMPACT,2,4,A4,X,9.3,6.6,8.1,35,186
2000,FORD,ESCORT ZX2,COMPACT,2,4,M5,X,9.3,6.6,8.1,35,186
2000,FORD,EXPEDITION,SUV,4.6,8,A4,X,16,11.1,13.8,20,317
2000,FORD,EXPEDITION,SUV,5.4,8,A4,X,18.3,12.1,15.5,18,356
2000,FORD,EXPEDITION 4X4,SUV,4.6,8,A4,X,17.4,12.2,15.1,19,347
2000,FORD,EXPEDITION 4X4,SUV,5.4,8,A4,X,19.1,13.1,16.4,17,377
2000,FORD,EXPLORER,SUV,4,6,M5,X,13.3,9.5,11.6,24,267
2000,FORD,EXPLORER,SUV,5,8,A4,X,16.6,11.2,14.2,20,327
2000,FORD,EXPLORER 4X4,SUV,4,6,M5,X,14.7,10.6,12.9,22,297
2000,FORD,EXPLORER 4X4,SUV,5,8,A4,X,16.9,11.1,14.3,20,329
2000,FORD,EXPLORER OHV,SUV,4,6,A5,X,15.4,11.6,13.7,21,315
2000,FORD,EXPLORER OHV 4X4,SUV,4,6,A5,X,15.6,11,13.5,21,310
2000,FORD,EXPLORER SOHC,SUV,4,6,A5,X,14.8,10.4,12.8,22,294
2000,FORD,EXPLORER SOHC 4X4,SUV,4,6,A5,X,15,10.8,13.1,22,301
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,A4,X,15,10.7,13.1,22,301
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,M5,X,14.6,10.4,12.7,22,292
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,A4,X,15.3,10.7,13.2,21,304
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,M5,X,16,10.6,13.6,21,313
2000,FORD,F150,PICKUP TRUCK - STANDARD,5.4,8,A4,X,16.1,11.3,13.9,20,320
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,A4,X,15.6,11.5,13.8,20,317
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,M5,X,16.2,11.9,14.3,20,329
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,A4,X,16.7,12,14.6,19,336
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,M5,X,17,11.7,14.6,19,336
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,5.4,8,A4,X,18.8,13.3,16.3,17,375
2000,FORD,FOCUS SEDAN,COMPACT,2,4,A4,X,9.4,6.9,8.3,34,191
2000,FORD,FOCUS SEDAN,COMPACT,2,4,M5,X,9.4,6.5,8.1,35,186
2000,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2,4,A4,X,9.3,6.8,8.2,34,189
2000,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2,4,M5,X,9.5,6.4,8.1,35,186
2000,FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,A4,X,13.4,8.7,11.3,25,260
2000,FORD,MUSTANG,SUBCOMPACT,3.8,6,A4,X,11.9,7.9,10.1,28,232
2000,FORD,MUSTANG,SUBCOMPACT,3.8,6,M5,X,12.1,7.6,10.1,28,232
2000,FORD,MUSTANG,SUBCOMPACT,4.6,8,A4,X,13.5,9.1,11.5,25,264
2000,FORD,MUSTANG,SUBCOMPACT,4.6,8,M5,X,13.8,8.8,11.6,24,267
2000,FORD,MUSTANG #,SUBCOMPACT,4.6,8,M5,X,14.1,8.9,11.8,24,271
2000,FORD,RANGER,PICKUP TRUCK - STANDARD,3,6,A4,X,14.1,9.5,12,24,276
2000,FORD,RANGER,PICKUP TRUCK - STANDARD,3,6,M5,X,14.5,9.6,12.3,23,283
2000,FORD,RANGER,PICKUP TRUCK - STANDARD,4,6,A5,X,15.3,11.5,13.6,21,313
2000,FORD,RANGER,PICKUP TRUCK - STANDARD,4,6,M5,X,13.3,9.7,11.7,24,269
2000,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3,6,A4,X,14.7,10.6,12.9,22,297
2000,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3,6,M5,X,13.9,10.1,12.2,23,281
2000,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4,6,A5,X,15.6,11.2,13.6,21,313
2000,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4,6,M5,X,14.8,10.9,13,22,299
2000,FORD,TAURUS,MID-SIZE,3,6,A4,X,12.1,7.7,10.1,28,232
2000,FORD,TAURUS #,MID-SIZE,3,6,A4,X,12,7.7,10.1,28,232
2000,FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3,6,A4,X,12.6,8.1,10.6,27,244
2000,FORD,TAURUS WAGON #,STATION WAGON - MID-SIZE,3,6,A4,X,12.5,8.1,10.5,27,242
2000,FORD,WINDSTAR VAN,VAN - CARGO,3,6,A4,X,14,9.3,11.9,24,274
2000,FORD,WINDSTAR VAN,VAN - CARGO,3.8,6,A4,X,13.3,9.5,11.6,24,267
2000,FORD,WINDSTAR WAGON,MINIVAN,3,6,A4,X,14,9.3,11.9,24,274
2000,FORD,WINDSTAR WAGON,MINIVAN,3.8,6,A4,X,13.9,9.4,11.9,24,274
2000,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.9,11.9,14.1,20,324
2000,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.7,12.3,14.7,19,338
2000,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,X,14.6,10.5,12.8,22,294
2000,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,M5,X,17.1,11,14.4,20,331
2000,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A4,X,15,10.8,13.1,22,301
2000,GMC,C1500 YUKON,SUV,4.8,8,A4,X,16.9,12.7,15,19,345
2000,GMC,C1500 YUKON,SUV,5.3,8,A4,X,17.1,12.5,15,19,345
2000,GMC,C1500 YUKON XL,SUV,5.3,8,A4,X,17.1,12.5,15,19,345
2000,GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.1,12,14.3,20,329
2000,GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,6,8,A4,X,19.4,13.5,16.7,17,384
2000,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,4.3,6,A4,X,16,11.9,14.2,20,327
2000,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5,8,A4,X,16.4,11.8,14.3,20,329
2000,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5.7,8,A4,X,17.3,12.7,15.2,19,350
2000,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,4.3,6,A4,X,16.5,12.2,14.6,19,336
2000,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5,8,A4,X,16.5,12,14.5,19,334
2000,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.7,8,A4,X,18.7,13.6,16.4,17,377
2000,GMC,JIMMY,SUV,4.3,6,A4,X,14.5,10.8,12.8,22,294
2000,GMC,JIMMY,SUV,4.3,6,M5,X,14.6,9.9,12.5,23,288
2000,GMC,JIMMY 4X4,SUV,4.3,6,A4,X,15.3,11.1,13.4,21,308
2000,GMC,JIMMY 4X4,SUV,4.3,6,M5,X,16.9,12.4,14.9,19,343
2000,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.3,11.1,13.4,21,308
2000,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.9,12.4,14.9,19,343
2000,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,15.6,12,14,20,322
2000,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.3,12.5,15.7,18,361
2000,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.2,12.3,14.4,20,331
2000,GMC,K1500 YUKON 4X4,SUV,4.8,8,A4,X,16.9,12.7,15,19,345
2000,GMC,K1500 YUKON 4X4,SUV,5.3,8,A4,X,17.1,12.6,15.1,19,347
2000,GMC,K1500 YUKON 4X4,SUV,5.7,8,A4,X,19.2,13.4,16.6,17,382
2000,GMC,SAFARI CARGO,VAN - CARGO,4.3,6,A4,X,14.5,10.8,12.8,22,294
2000,GMC,SAFARI CARGO AWD,VAN - CARGO,4.3,6,A4,X,15.3,11.1,13.4,21,308
2000,GMC,SAFARI PASSENGER,VAN - PASSENGER,4.3,6,A4,X,15.9,11.9,14.1,20,324
2000,GMC,SAFARI PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,15.7,11.4,13.8,20,317
2000,GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,A4,X,12.3,8.4,10.5,27,242
2000,GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,M5,X,10.8,7.4,9.3,30,214
2000,GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,A4,X,13.8,9.7,12,24,276
2000,GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,M5,X,14.5,9.7,12.3,23,283
2000,GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.1,10.9,13.2,21,304
2000,GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,14.6,10.1,12.6,22,290
2000,HONDA,ACCORD,MID-SIZE,3,6,A4,X,11.5,7.8,9.8,29,225
2000,HONDA,ACCORD DX,MID-SIZE,2.3,4,A4,X,10.8,7.5,9.3,30,214
2000,HONDA,ACCORD DX,MID-SIZE,2.3,4,M5,X,10.1,7.2,8.8,32,202
2000,HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,A4,X,10.4,7.1,8.9,32,205
2000,HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,M5,X,9.4,6.8,8.2,34,189
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,A4,X,9.2,6.7,8.1,35,186
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,175
2000,HONDA,CIVIC COUPE SiR,SUBCOMPACT,1.6,4,M5,Z,9.5,7,8.4,34,193
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,A4,X,8.7,6.1,7.5,38,172
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,M5,X,7.6,5.8,6.8,42,156
2000,HONDA,CR-V,SUV,2,4,A4,X,11,8.9,10.1,28,232
2000,HONDA,CR-V,SUV,2,4,M5,X,11,8.9,10.1,28,232
2000,HONDA,INSIGHT,SUBCOMPACT,1,3,M5,X,3.9,3.2,3.6,78,83
2000,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,13.3,8.5,11.1,25,255
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,11.2,8.2,9.8,29,225
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,10.6,8.1,9.5,30,218
2000,HONDA,S2000,SUBCOMPACT,2,4,M6,Z,11.6,8.5,10.2,28,235
2000,HYUNDAI,ACCENT,COMPACT,1.5,4,A4,X,9.2,6.1,7.8,36,179
2000,HYUNDAI,ACCENT,COMPACT,1.5,4,M5,X,8.4,6,7.3,39,168
2000,HYUNDAI,ELANTRA,COMPACT,2,4,A4,X,10.8,7,9.1,31,209
2000,HYUNDAI,ELANTRA,COMPACT,2,4,M5,X,9.9,6.5,8.4,34,193
2000,HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2,4,A4,X,11,7.3,9.3,30,214
2000,HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2,4,M5,X,10,6.7,8.5,33,196
2000,HYUNDAI,SONATA 2.4L,MID-SIZE,2.4,4,A4,X,11.5,7.7,9.8,29,225
2000,HYUNDAI,SONATA 2.5L,MID-SIZE,2.5,6,A4,X,11.7,7.8,9.9,29,228
2000,HYUNDAI,TIBURON,SUBCOMPACT,2,4,A4,X,10.8,7.2,9.2,31,212
2000,HYUNDAI,TIBURON,SUBCOMPACT,2,4,M5,X,10,6.7,8.5,33,196
2000,INFINITI,G20,COMPACT,2,4,A4,X,10.2,7.1,8.8,32,202
2000,INFINITI,G20,COMPACT,2,4,M5,X,10,6.9,8.6,33,198
2000,INFINITI,I30,MID-SIZE,3,6,A4,X,11.9,7.8,10.1,28,232
2000,INFINITI,QX4 4X4,SUV,3.3,6,A4,X,15.9,11.7,14,20,322
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,2.2,4,A4,X,12.3,8.4,10.5,27,242
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,2.2,4,M5,X,10.8,7.4,9.3,30,214
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,A4,X,13.8,9.7,12,24,276
2000,ISUZU,HOMBRE 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.1,10.9,13.2,21,304
2000,ISUZU,RODEO 4X4,SUV,3.2,6,A4,X,14.9,10.8,13.1,22,301
2000,ISUZU,RODEO 4X4,SUV,3.2,6,M5,X,15.1,11.1,13.3,21,306
2000,ISUZU,TROOPER 4X4,SUV,3.5,6,A4,X,16,11.6,14,20,322
